run_id,tiktok_handle,display_name,party_name,storkreds,account_type,video_id,upload_dato,beskrivelse,visninger,likes,kommentarer,shares,gemmer,video_url
20260330_193550_a14bfb,susannedamsgaarddd,Susanne Damsgaard,Danmarksdemokraterne - Inger Støjberg,Københavns Omegns Storkreds,kandidat,7621233307706985750,2026-03-25,"9 meter over jorden. Overnatning i hytte 9 meter oppe , dybt inde i en skov i Jylland. #treetop ",795,6,0,0,1,https://www.tiktok.com/@susannedamsgaarddd/video/7621233307706985750
20260330_193550_a14bfb,susannedamsgaarddd,Susanne Damsgaard,Danmarksdemokraterne - Inger Støjberg,Københavns Omegns Storkreds,kandidat,7620153409420725526,2026-03-22,"Still going strong. Vores oldemor på 88 år er rimelig skarp, når det passer hende ❤️#fv26 #ingerstøjberg #stempersonligt #fyp #foryoupage ",20300,186,1,19,6,https://www.tiktok.com/@susannedamsgaarddd/video/7620153409420725526
20260330_193550_a14bfb,susannedamsgaarddd,Susanne Damsgaard,Danmarksdemokraterne - Inger Støjberg,Københavns Omegns Storkreds,kandidat,7619800108506385686,2026-03-21,Fkn fed sejltur til “Øen i Søen”. I dag har der været politisk demokrati. I morgen er det i ejerforeningen (sommerhuset i Allinge) hvor der er generalforsamling. Det er jo også demokrati. #fv26 ,604,8,0,0,1,https://www.tiktok.com/@susannedamsgaarddd/video/7619800108506385686
20260330_193550_a14bfb,susannedamsgaarddd,Susanne Damsgaard,Danmarksdemokraterne - Inger Støjberg,Københavns Omegns Storkreds,kandidat,7618277575986564374,2026-03-17,"Det kender du sikkert godt. Din hjerne fucker med dig, når du er træt.#fv26 ",587,19,3,1,1,https://www.tiktok.com/@susannedamsgaarddd/video/7618277575986564374
20260330_193550_a14bfb,susannedamsgaarddd,Susanne Damsgaard,Danmarksdemokraterne - Inger Støjberg,Københavns Omegns Storkreds,kandidat,7617565496661019926,2026-03-15,Husk at sætte din personlige stemme hos mig❌ God aften! #fyp #foryoupage #valgkamp ,540,12,2,0,3,https://www.tiktok.com/@susannedamsgaarddd/video/7617565496661019926
20260330_193550_a14bfb,susannedamsgaarddd,Susanne Damsgaard,Danmarksdemokraterne - Inger Støjberg,Københavns Omegns Storkreds,kandidat,7617562506369764631,2026-03-15,Vi skal have sundhed i balance!🏥 #fyp #foryoupage #valgkamp ,642,30,0,1,4,https://www.tiktok.com/@susannedamsgaarddd/video/7617562506369764631
20260330_193550_a14bfb,susannedamsgaarddd,Susanne Damsgaard,Danmarksdemokraterne - Inger Støjberg,Københavns Omegns Storkreds,kandidat,7616070391831842070,2026-03-11,En kold fornøjelse #sne #fyp #foryoupage ,13200,1045,1,4,26,https://www.tiktok.com/@susannedamsgaarddd/video/7616070391831842070
20260330_193550_a14bfb,susannedamsgaarddd,Susanne Damsgaard,Danmarksdemokraterne - Inger Støjberg,Københavns Omegns Storkreds,kandidat,7615668231843433750,2026-03-10,5 hurtige med Susanne Damsgaard fra Danmarksdemokraterne❌ #fyp #foryoupage #valgkamp ,43900,2401,40,190,190,https://www.tiktok.com/@susannedamsgaarddd/video/7615668231843433750
20260330_193550_a14bfb,susannedamsgaarddd,Susanne Damsgaard,Danmarksdemokraterne - Inger Støjberg,Københavns Omegns Storkreds,kandidat,7572961694545104150,2025-11-15,Her er lidt af det der har holdt mig kørende i de forgangne uger af valgkampen🇩🇰 #fyp #makemefamous #danmarksdemokraterne #foryoupage #fyp ,746,10,0,3,2,https://www.tiktok.com/@susannedamsgaarddd/video/7572961694545104150
20260330_193550_a14bfb,susannedamsgaarddd,Susanne Damsgaard,Danmarksdemokraterne - Inger Støjberg,Københavns Omegns Storkreds,kandidat,7572957572278275350,2025-11-15,Vil du også have mere sikkerhed i sundhedsvæsnet!  Sæt ❌ personligt ved “Susanne Damsgaard”  #fyp #makemefamous #danmarksdemokraterne #foryoupage #fyp ,3347,31,1,1,1,https://www.tiktok.com/@susannedamsgaarddd/video/7572957572278275350
20260330_193550_a14bfb,susannedamsgaarddd,Susanne Damsgaard,Danmarksdemokraterne - Inger Støjberg,Københavns Omegns Storkreds,kandidat,7565930356772261142,2025-10-27,Vil du sammen med mig få Makrel Mette i fiskenettet?? #fyp #danmarksdemokraterne #makemefamous ,16400,329,0,14,18,https://www.tiktok.com/@susannedamsgaarddd/video/7565930356772261142
20260330_193550_a14bfb,susannedamsgaarddd,Susanne Damsgaard,Danmarksdemokraterne - Inger Støjberg,Københavns Omegns Storkreds,kandidat,7565926565746445590,2025-10-27,Er du også blevet svigtet af systemet? #fyp #foryoupage #danmarksdemokraterne #makemefamous ,759,11,0,4,1,https://www.tiktok.com/@susannedamsgaarddd/video/7565926565746445590
20260330_193550_a14bfb,susannedamsgaarddd,Susanne Damsgaard,Danmarksdemokraterne - Inger Støjberg,Københavns Omegns Storkreds,kandidat,7565926566971067670,2025-10-27,Til kamp mod Slette Mette eller som nogen også kalder hende Mette Mink #fyp #foryoupage #danmarksdemokraterne  #slettemette #mettemink ,1215,61,0,4,5,https://www.tiktok.com/@susannedamsgaarddd/video/7565926566971067670
