run_id,tiktok_handle,display_name,party_name,storkreds,account_type,video_id,upload_dato,beskrivelse,visninger,likes,kommentarer,shares,gemmer,video_url
20260330_193550_a14bfb,filippavittrup,Filippa Emilie Vittrup,Enhedslisten - De Rød-Grønne,Nordjyllands Storkreds,kandidat,7620393243414498582,2026-03-23,"I anledning af valget i morgen får I her noget dugfrisk satire  (jeg kender btw flere folk fra Liberal Alliance personligt og de fleste er søde mennesker, jeg hader bare deres parti ❤️)",68400,9649,102,1127,598,https://www.tiktok.com/@filippavittrup/video/7620393243414498582
20260330_193550_a14bfb,filippavittrup,Filippa Emilie Vittrup,Enhedslisten - De Rød-Grønne,Nordjyllands Storkreds,kandidat,7620016535666461974,2026-03-22,"Jeg synes, vi skal have gratis offentlig transport i DK 😎 Gør du?",4165,469,20,12,24,https://www.tiktok.com/@filippavittrup/video/7620016535666461974
20260330_193550_a14bfb,filippavittrup,Filippa Emilie Vittrup,Enhedslisten - De Rød-Grønne,Nordjyllands Storkreds,kandidat,7618951634995170582,2026-03-19,"Hej vloggen, her er day in the life som folketingskandidat.  Ved ikke helt hvad det her er, men nu får I det. BTW NO AI WAS USED!!!’",11400,1153,44,113,48,https://www.tiktok.com/@filippavittrup/video/7618951634995170582
20260330_193550_a14bfb,filippavittrup,Filippa Emilie Vittrup,Enhedslisten - De Rød-Grønne,Nordjyllands Storkreds,kandidat,7618559798425996566,2026-03-18,🐽🐷❤️ #folketingsvalg #dyr #hopecore,4152,635,13,11,17,https://www.tiktok.com/@filippavittrup/video/7618559798425996566
20260330_193550_a14bfb,filippavittrup,Filippa Emilie Vittrup,Enhedslisten - De Rød-Grønne,Nordjyllands Storkreds,kandidat,7618178697350155542,2026-03-17,"The math isn’t mathing. Henrik Andersen tjente sidste år 32 millioner kroner. Det er mere, end de fleste danskere tjener på et helt liv!!! Alligevel mener han åbenbart, at en lille formueskat er så urimelig, at han overvejer at forlade Danmark.  Det ",36600,1201,73,45,52,https://www.tiktok.com/@filippavittrup/video/7618178697350155542
20260330_193550_a14bfb,filippavittrup,Filippa Emilie Vittrup,Enhedslisten - De Rød-Grønne,Nordjyllands Storkreds,kandidat,7617895379534679318,2026-03-16,Hvorfor siger I nej?? TAG DEN NU BARE PLEASE!!!! 🙏🙏🙏🙏 #folketingsvalg  #politik #jegbiderikke ,4139,351,13,15,17,https://www.tiktok.com/@filippavittrup/video/7617895379534679318
20260330_193550_a14bfb,filippavittrup,Filippa Emilie Vittrup,Enhedslisten - De Rød-Grønne,Nordjyllands Storkreds,kandidat,7617092869358144790,2026-03-14,"Jeg havde nok valgt et andet logo, hvis jeg var VU Aalborg 😳😳 Det er godt nok uheldigt",3357,402,4,43,15,https://www.tiktok.com/@filippavittrup/video/7617092869358144790
20260330_193550_a14bfb,filippavittrup,Filippa Emilie Vittrup,Enhedslisten - De Rød-Grønne,Nordjyllands Storkreds,kandidat,7615917996493573398,2026-03-11,"kan næsten ikke komme i tanke om noget mere dommedagssgtigt end en KIRKE, der bruger chatgpt 💀✝️ tror ikke det er det jesus døde for ",7354,662,15,65,36,https://www.tiktok.com/@filippavittrup/video/7615917996493573398
20260330_193550_a14bfb,filippavittrup,Filippa Emilie Vittrup,Enhedslisten - De Rød-Grønne,Nordjyllands Storkreds,kandidat,7614155185744645398,2026-03-06,"Hard launcher at jeg er blevet konservativ 😭  Beklager den dårlige lyd, bad bilerne om at stoppe, så jeg kunne lave en tiktok, men de nægtede.  Men det er også okay, for jeg er konservativ nu, så jeg elsker biler 👍 Tror I nogensinde, nogen er blevet ",7473,1061,31,97,44,https://www.tiktok.com/@filippavittrup/video/7614155185744645398
20260330_193550_a14bfb,filippavittrup,Filippa Emilie Vittrup,Enhedslisten - De Rød-Grønne,Nordjyllands Storkreds,kandidat,7607892097219284246,2026-02-17,"Svarer @Schwalm  Der er virkelig mange, der taler om topskat, som om det er en økonomisk katastrofe for helt almindelige mennesker. Men lad os lige zoome lidt ud:  Topskat rammer IKKE gennemsnitsindkomster. Den rammer dem, der tjener markant mere end",60500,4169,418,93,353,https://www.tiktok.com/@filippavittrup/video/7607892097219284246
20260330_193550_a14bfb,filippavittrup,Filippa Emilie Vittrup,Enhedslisten - De Rød-Grønne,Nordjyllands Storkreds,kandidat,7603742145534561558,2026-02-06,"sorry homies men I bliver simpelthen ikke rige allesammen, selvom alex vansoplagh prøver at få jer til at tro det. men er sikker på at landets rigeste er glade for at få lidt flere lommepenge, mens din mormor må skide i bukserne på plejehjemmet, ford",57200,6811,208,565,170,https://www.tiktok.com/@filippavittrup/video/7603742145534561558
20260330_193550_a14bfb,filippavittrup,Filippa Emilie Vittrup,Enhedslisten - De Rød-Grønne,Nordjyllands Storkreds,kandidat,7603416170963750166,2026-02-05,"Jeg var ved at blive fuldstændig bims af at have hamstre, da jeg gik på gym. Spørg min eks, han var førstehåndsvidne til mit vanvid. Jo mere jeg lærte om deres behov, desto værre fik jeg det. Fordi jeg fandt ud af, hvor vildt mange hamstere, der rend",6310,445,23,28,29,https://www.tiktok.com/@filippavittrup/video/7603416170963750166
20260330_193550_a14bfb,filippavittrup,Filippa Emilie Vittrup,Enhedslisten - De Rød-Grønne,Nordjyllands Storkreds,kandidat,7600439772187757846,2026-01-28,“Du kan godt” er mit hadeslogan.  For ved du hvad: Nogle gange kan man ikke. Nogle gange går man ned med stress og bliver nødt til at droppe ud af gymnasiet. Nogle gange har man ikke overskud til at have et fritidsjob. Nogle gange har man brug for hj,19400,2184,154,64,154,https://www.tiktok.com/@filippavittrup/video/7600439772187757846
