run_id,tiktok_handle,display_name,party_name,storkreds,account_type,video_id,upload_dato,beskrivelse,visninger,likes,kommentarer,shares,gemmer,video_url
20260330_193550_a14bfb,katrineevelynjens,Katrine Evelyn Jensen,Socialdemokratiet,Vestjyllands Storkreds,kandidat,7617944537394089238,2026-03-16,Vi skal have en bedre balance i vores land!🙏❤️ #dkpol #fyp #viborg #politiktok #dansk ,1230,55,2,1,2,https://www.tiktok.com/@katrineevelynjens/video/7617944537394089238
20260330_193550_a14bfb,katrineevelynjens,Katrine Evelyn Jensen,Socialdemokratiet,Vestjyllands Storkreds,kandidat,7615909221787372822,2026-03-11,Retfærdig pension til min papfar Jan og mange andre!🙏❤️,7840,116,1,3,8,https://www.tiktok.com/@katrineevelynjens/video/7615909221787372822
20260330_193550_a14bfb,katrineevelynjens,Katrine Evelyn Jensen,Socialdemokratiet,Vestjyllands Storkreds,kandidat,7615669241580096790,2026-03-10,Vi skal have et sprøjteforbud for at beskytte vores dyrebare drikkevand 💧🙏 #dkpol #fyp #viborg #politiktok #dansk ,2869,77,4,5,3,https://www.tiktok.com/@katrineevelynjens/video/7615669241580096790
20260330_193550_a14bfb,katrineevelynjens,Katrine Evelyn Jensen,Socialdemokratiet,Vestjyllands Storkreds,kandidat,7615259330673151254,2026-03-09,Retfærdig pension nu!🙏❤️#dkpol #fyp #viborg #politiktok #dansk ,8331,165,6,3,10,https://www.tiktok.com/@katrineevelynjens/video/7615259330673151254
20260330_193550_a14bfb,katrineevelynjens,Katrine Evelyn Jensen,Socialdemokratiet,Vestjyllands Storkreds,kandidat,7615221794001194262,2026-03-09,Min tale til Kvindernes internationale kampdag 💖🌸,1128,65,2,2,0,https://www.tiktok.com/@katrineevelynjens/video/7615221794001194262
20260330_193550_a14bfb,katrineevelynjens,Katrine Evelyn Jensen,Socialdemokratiet,Vestjyllands Storkreds,kandidat,7614970531539963158,2026-03-08,"I dag inviterede jeg til kvindebrunch med fokus på kvinders sundhed, bekæmpelse af vold mod kvinder og bedre repræsentation. En rigtig god dag!🌹💖 #dkpol #fyp #unge #viborg #politiktok ",6381,103,2,3,3,https://www.tiktok.com/@katrineevelynjens/video/7614970531539963158
20260330_193550_a14bfb,katrineevelynjens,Katrine Evelyn Jensen,Socialdemokratiet,Vestjyllands Storkreds,kandidat,7612333305505123607,2026-03-01,Jeg har de BEDSTE frivillige!❤️🫶🔥 #dkpol #fyp #unge #viborg #politiktok ,2065,64,3,1,3,https://www.tiktok.com/@katrineevelynjens/video/7612333305505123607
20260330_193550_a14bfb,katrineevelynjens,Katrine Evelyn Jensen,Socialdemokratiet,Vestjyllands Storkreds,kandidat,7611140589584764182,2026-02-26,Der er udskrevet valg til Folketinget! Jeg håber på din tillid til en plads i Folketinget❤️,3250,112,4,14,7,https://www.tiktok.com/@katrineevelynjens/video/7611140589584764182
20260330_193550_a14bfb,katrineevelynjens,Katrine Evelyn Jensen,Socialdemokratiet,Vestjyllands Storkreds,kandidat,7607130739531959574,2026-02-15,Årets første hjemmebanekamp på Viborg Arena! VFF mod Brøndby. De frivillige gætter på resultatet. Vi tror på en solid sejr til VFF💚🤍#fyp #viborg #unge #dansk #fodbold ,4677,118,6,21,8,https://www.tiktok.com/@katrineevelynjens/video/7607130739531959574
20260330_193550_a14bfb,katrineevelynjens,Katrine Evelyn Jensen,Socialdemokratiet,Vestjyllands Storkreds,kandidat,7602642193915972886,2026-02-03,Det er KRIMINELT at bestille burger på ✨Bones✨ Am I right?? #foodtok #fyp #unge #viborg #dansk ,6598,84,3,8,8,https://www.tiktok.com/@katrineevelynjens/video/7602642193915972886
20260330_193550_a14bfb,katrineevelynjens,Katrine Evelyn Jensen,Socialdemokratiet,Vestjyllands Storkreds,kandidat,7597849535024581910,2026-01-21,Trump har INGEN respekt for grønlænderne eller nogen andre for den sags skyld. Nu må det stoppe!! Al støtte og opbakning til grønlænderne i de her svære tider 🇩🇰🇬🇱❤️ #politiktok #trump2024 #fyp #unge #viborg ,1493,65,4,1,3,https://www.tiktok.com/@katrineevelynjens/video/7597849535024581910
20260330_193550_a14bfb,katrineevelynjens,Katrine Evelyn Jensen,Socialdemokratiet,Vestjyllands Storkreds,kandidat,7594871873452674306,2026-01-13,Vi skal passe på vores rene drikkevand! Derfor er et sprøjteforbud nær drikkevandsboringerne nødvendigt! #viborg #politiktok #fyp #dansk ,950,34,1,1,4,https://www.tiktok.com/@katrineevelynjens/video/7594871873452674306
20260330_193550_a14bfb,katrineevelynjens,Katrine Evelyn Jensen,Socialdemokratiet,Vestjyllands Storkreds,kandidat,7593995642075237654,2026-01-11,Hvad skulle dit death row meal være? #viborg #politiktok #fyp #deathrowmeal #dansk ,1380,47,1,4,3,https://www.tiktok.com/@katrineevelynjens/video/7593995642075237654
20260330_193550_a14bfb,katrineevelynjens,Katrine Evelyn Jensen,Socialdemokratiet,Vestjyllands Storkreds,kandidat,7589202726203034902,2025-12-29,Kan den selvudnævnte colaekspert smage forskel? 🥤#viborg #dansk #fyp #tastetest #unge ,591,28,1,1,3,https://www.tiktok.com/@katrineevelynjens/video/7589202726203034902
