candidate_name,party_name,storkreds,list_type,is_alphabetical,list_position,raw_position,opstillet_i_kreds,prioriteret_i_kreds,personal_votes,total_votes,valgt_token,elected_marker,valgt_nr,stedfortraeder_nr,is_elected,beat_someone_above,n_above,n_above_beaten
Sophie Hæstorp Andersen,Socialdemokratiet,Københavns Storkreds,prioriteret_sideordnet,False,2,Alle,Alle,7,2187,2187,3K,K,3,,True,1,1,1
Ida Auken,Socialdemokratiet,Københavns Storkreds,prioriteret_sideordnet,False,3,Alle,Alle,"10,11",11286,11286,2K,K,2,,True,1,2,2
Peter Hummelgaard,Socialdemokratiet,Københavns Storkreds,prioriteret_sideordnet,False,7,Alle,Alle,12,11637,11637,1K,K,1,,True,1,6,6
Sofie de Bretteville,Socialdemokratiet,Københavns Omegns Storkreds,prioriteret_sideordnet,False,2,Alle,Alle,8,4431,4431,3K,K,3,,True,1,1,1
Morten Bødskov,Socialdemokratiet,Københavns Omegns Storkreds,prioriteret_sideordnet,False,3,Alle,Alle,4,5643,5643,2K,K,2,,True,1,2,2
Mattias Tesfaye,Socialdemokratiet,Københavns Omegns Storkreds,prioriteret_sideordnet,False,5,Alle,Alle,6,11898,11898,1K,K,1,,True,1,4,4
Fie Hækkerup,Socialdemokratiet,Nordsjællands Storkreds,prioriteret_sideordnet,False,1,Alle,Alle,3,5763,5763,1K,K,1,,True,0,0,0
Matilde Powers,Socialdemokratiet,Nordsjællands Storkreds,prioriteret_sideordnet,False,4,Alle,Alle,5,4030,4030,3K,K,3,,True,1,3,2
Rasmus Stoklund,Socialdemokratiet,Nordsjællands Storkreds,prioriteret_sideordnet,False,6,Alle,Alle,4,4528,4528,2K,K,2,,True,1,5,4
Lea Wermelin,Socialdemokratiet,Bornholms Storkreds,prioriteret_sideordnet,False,3,Alle,Alle,Alle,3837,3837,1K,K,1,,True,1,2,2
Trine Birk Andersen,Socialdemokratiet,Sjællands Storkreds,prioriteret_sideordnet,False,2,Alle,Alle,9,4106,4106,5K,K,5,,True,1,1,1
Kaare Dybvad Bek,Socialdemokratiet,Sjællands Storkreds,prioriteret_sideordnet,False,3,Alle,Alle,8,5848,5848,3K,K,3,,True,1,2,2
Magnus Heunicke,Socialdemokratiet,Sjællands Storkreds,prioriteret_sideordnet,False,5,Alle,Alle,4,14316,14316,1K,K,1,,True,1,4,4
Kasper Roug,Socialdemokratiet,Sjællands Storkreds,prioriteret_sideordnet,False,10,Alle,Alle,1,4476,4476,4K,K,4,,True,1,9,7
Frederik Vad,Socialdemokratiet,Sjællands Storkreds,prioriteret_sideordnet,False,12,Alle,Alle,12,6763,6763,2K,K,2,,True,1,11,10
Trine Bramsen,Socialdemokratiet,Fyns Storkreds,prioriteret_sideordnet,False,1,Alle,Alle,2,8112,8112,2K,K,2,,True,0,0,0
Bjørn Brandenborg,Socialdemokratiet,Fyns Storkreds,prioriteret_sideordnet,False,2,Alle,Alle,7,12098,12098,1K,K,1,,True,1,1,1
Jeppe Bruus,Socialdemokratiet,Fyns Storkreds,prioriteret_sideordnet,False,3,Alle,Alle,5,5501,5501,3K,K,3,,True,0,2,0
Thomas Skriver Jensen,Socialdemokratiet,Fyns Storkreds,prioriteret_sideordnet,False,6,Alle,Alle,3,4231,4231,4K,K,4,,True,1,5,2
Benny Engelbrecht,Socialdemokratiet,Sydjyllands Storkreds,prioriteret_sideordnet,False,2,Alle,Alle,1,7275,7275,2K,K,2,,True,1,1,1
Anders Kronborg,Socialdemokratiet,Sydjyllands Storkreds,prioriteret_sideordnet,False,5,Alle,Alle,"4,5",5728,5728,5K,K,5,,True,1,4,3
Christian Rabjerg Madsen,Socialdemokratiet,Sydjyllands Storkreds,prioriteret_sideordnet,False,7,Alle,Alle,"11,12",7844,7844,1K,K,1,,True,1,6,6
Jesper Petersen,Socialdemokratiet,Sydjyllands Storkreds,prioriteret_sideordnet,False,10,Alle,Alle,13,6188,6188,4K,K,4,,True,1,9,7
Birgitte Vind,Socialdemokratiet,Sydjyllands Storkreds,prioriteret_sideordnet,False,13,Alle,Alle,"8,9",6220,6220,3K,K,3,,True,1,12,10
Camilla Fabricius,Socialdemokratiet,Østjyllands Storkreds,prioriteret_sideordnet,False,1,Alle,Alle,2,5876,5876,3K,K,3,,True,0,0,0
Leif Lahn Jensen,Socialdemokratiet,Østjyllands Storkreds,prioriteret_sideordnet,False,4,Alle,Alle,5,6837,6837,2K,K,2,,True,1,3,3
Anders Kühnau,Socialdemokratiet,Østjyllands Storkreds,prioriteret_sideordnet,False,5,Alle,Alle,4,4043,4043,1T,T,1,,True,1,4,2
Malte Larsen,Socialdemokratiet,Østjyllands Storkreds,prioriteret_sideordnet,False,6,Alle,Alle,6,4365,4365,5K,K,5,,True,1,5,3
Thomas Monberg,Socialdemokratiet,Østjyllands Storkreds,prioriteret_sideordnet,False,7,Alle,Alle,10,4652,4652,4K,K,4,,True,1,6,4
Nicolai Wammen,Socialdemokratiet,Østjyllands Storkreds,prioriteret_sideordnet,False,11,Alle,Alle,"1,3",19203,19203,1K,K,1,,True,1,10,10
Katrine Evelyn Jensen,Socialdemokratiet,Vestjyllands Storkreds,prioriteret_sideordnet,False,4,Alle,Alle,"3,4",4721,4721,3K,K,3,,True,1,3,3
Mogens Jensen,Socialdemokratiet,Vestjyllands Storkreds,prioriteret_sideordnet,False,5,Alle,Alle,"8,9",7010,7010,1K,K,1,,True,1,4,4
